"gene"	"adj.pval.sym_trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa30128"	0.00111388200866685	"Mcavernosa30128"	"."	"."	"Mcavernosa30128"	"1-2868[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000820"	45470	73746
"Mcavernosa23777"	0.00114581000690144	"Mcavernosa23777"	"."	"."	"Mcavernosa23777"	"1-1116[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000910"	49486	54149
"Mcavernosa23099"	0.00126341301122722	"Mcavernosa23099"	"SFTPD_MOUSE^SFTPD_MOUSE^Q:386-482,H:67-173^47.27%ID^E:4e-10^RecName: Full=Pulmonary surfactant-associated protein D;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`COHA1_HUMAN^COHA1_HUMAN^Q:376-480,H:545-639^44.44%ID^E:5e-10^RecName: Full=Collagen alpha-1(XVII) chain;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CO2A1_XENLA^CO2A1_XENLA^Q:376-521,H:621-784^36.93%ID^E:3e-09^RecName: Full=Collagen alpha-1(II) chain {ECO:0000250|UniProtKB:P02458};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`CO2A1_XENLA^CO2A1_XENLA^Q:386-485,H:687-790^46.15%ID^E:5e-06^RecName: Full=Collagen alpha-1(II) chain {ECO:0000250|UniProtKB:P02458};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"."	"Mcavernosa23099"	"1-1608[+]"	"SFTPD_MOUSE^SFTPD_MOUSE^Q:386-482,H:67-173^47.27%ID^E:4e-10^RecName: Full=Pulmonary surfactant-associated protein D;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`COHA1_HUMAN^COHA1_HUMAN^Q:376-480,H:545-639^44.44%ID^E:5e-10^RecName: Full=Collagen alpha-1(XVII) chain;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CO2A1_XENLA^CO2A1_XENLA^Q:376-521,H:621-784^36.93%ID^E:3e-09^RecName: Full=Collagen alpha-1(II) chain {ECO:0000250|UniProtKB:P02458};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`CO2A1_XENLA^CO2A1_XENLA^Q:386-485,H:687-790^46.15%ID^E:5e-06^RecName: Full=Collagen alpha-1(II) chain {ECO:0000250|UniProtKB:P02458};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"PF01391.17^Collagen^Collagen triple helix repeat (20 copies)^395-444^E:3.9e-07`PF01391.17^Collagen^Collagen triple helix repeat (20 copies)^423-480^E:2.9e-09"	"."	"."	"ENOG410YQHR^Calcium-dependent lectin involved in innate immune defense. Binds mannose, fucose and N-acetylglucosamine on different microorganisms and activates the lectin complement pathway. Binds to late apoptotic cells, as well as to apoptotic blebs and to necrotic cells, but not to early apoptotic cells, facilitating their uptake by macrophages"	"KEGG:mmu:20390`KO:K10068"	"GO:0005581^cellular_component^collagen trimer`GO:0005737^cellular_component^cytoplasm`GO:0031410^cellular_component^cytoplasmic vesicle`GO:0005615^cellular_component^extracellular space`GO:0005771^cellular_component^multivesicular body`GO:0005791^cellular_component^rough endoplasmic reticulum`GO:0042802^molecular_function^identical protein binding`GO:0001530^molecular_function^lipopolysaccharide binding`GO:0048029^molecular_function^monosaccharide binding`GO:0043152^biological_process^induction of bacterial agglutination`GO:0045087^biological_process^innate immune response`GO:0048286^biological_process^lung alveolus development`GO:0052405^biological_process^negative regulation by host of symbiont molecular function`GO:0032703^biological_process^negative regulation of interleukin-2 production`GO:0050765^biological_process^negative regulation of phagocytosis`GO:0042130^biological_process^negative regulation of T cell proliferation`GO:0008228^biological_process^opsonization`GO:0050766^biological_process^positive regulation of phagocytosis`GO:1905226^biological_process^regulation of adhesion of symbiont to host epithelial cell`GO:0050828^biological_process^regulation of liquid surface tension`GO:0007585^biological_process^respiratory gaseous exchange`GO:0043129^biological_process^surfactant homeostasis"	"."	"."	"."	"Sc0000711"	38865	85184
"Mcavernosa08816"	0.00127079606443171	"Mcavernosa08816"	"."	"."	"Mcavernosa08816"	"1-657[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xfSc0000010"	215520	216869
"Mcavernosa31428"	0.00127079606443171	"Mcavernosa31428"	"SPOP_XENTR^SPOP_XENTR^Q:3-308,H:14-374^59.39%ID^E:3e-151^RecName: Full=Speckle-type POZ protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`SPOPA_XENLA^SPOPA_XENLA^Q:3-308,H:14-374^59.39%ID^E:3e-151^RecName: Full=Speckle-type POZ protein A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`SPOPB_XENLA^SPOPB_XENLA^Q:3-308,H:14-374^59.39%ID^E:4e-151^RecName: Full=Speckle-type POZ protein B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"."	"Mcavernosa31428"	"1-1405[+]"	"SPOP_XENTR^SPOP_XENTR^Q:3-308,H:14-374^59.39%ID^E:3e-151^RecName: Full=Speckle-type POZ protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`SPOPA_XENLA^SPOPA_XENLA^Q:3-308,H:14-374^59.39%ID^E:3e-151^RecName: Full=Speckle-type POZ protein A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`SPOPB_XENLA^SPOPB_XENLA^Q:3-308,H:14-374^59.39%ID^E:4e-151^RecName: Full=Speckle-type POZ protein B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"PF00651.30^BTB^BTB/POZ domain^124-229^E:2.6e-33"	"."	"."	"ENOG410XQV8^meprin and TRAF homology domain-containing protein MATH domain-containing protein"	"KEGG:xtr:394599`KO:K10523"	"GO:0031463^cellular_component^Cul3-RING ubiquitin ligase complex`GO:0005737^cellular_component^cytoplasm`GO:0016607^cellular_component^nuclear speck`GO:0005634^cellular_component^nucleus`GO:0019005^cellular_component^SCF ubiquitin ligase complex`GO:0031625^molecular_function^ubiquitin protein ligase binding`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process`GO:0016567^biological_process^protein ubiquitination`GO:0030162^biological_process^regulation of proteolysis"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000097"	241518	253819
"Mcavernosa07334"	0.00146256094795703	"Mcavernosa07334"	"."	"."	"Mcavernosa07334"	"1-579[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000036"	520726	539956
"Mcavernosa04887"	0.0016182688870919	"Mcavernosa04887"	"FOCAD_HUMAN^FOCAD_HUMAN^Q:42-792,H:309-1103^32.46%ID^E:5e-113^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FOCAD_MOUSE^FOCAD_MOUSE^Q:169-792,H:421-1100^34.23%ID^E:3e-109^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`RST1_ARATH^RST1_ARATH^Q:222-387,H:559-703^28.82%ID^E:2e-06^RecName: Full=Protein RST1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"	"."	"Mcavernosa04887"	"1-2387[+]"	"FOCAD_HUMAN^FOCAD_HUMAN^Q:42-792,H:309-1103^32.46%ID^E:5e-113^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FOCAD_MOUSE^FOCAD_MOUSE^Q:169-792,H:421-1100^34.23%ID^E:3e-109^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`RST1_ARATH^RST1_ARATH^Q:222-387,H:559-703^28.82%ID^E:2e-06^RecName: Full=Protein RST1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"	"PF12530.7^DUF3730^Protein of unknown function (DUF3730)^202-402^E:7.6e-47"	"."	"."	"ENOG410YIIU^focadhesin"	"KEGG:hsa:54914"	"GO:0005925^cellular_component^focal adhesion`GO:0016021^cellular_component^integral component of membrane"	"."	"."	"."	"Sc0000112"	390533	411420
"Mcavernosa04888"	0.0016182688870919	"Mcavernosa04888"	"FOCAD_MOUSE^FOCAD_MOUSE^Q:43-187,H:641-776^36.55%ID^E:3e-18^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`FOCAD_HUMAN^FOCAD_HUMAN^Q:43-187,H:641-779^33.79%ID^E:4e-16^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa04888"	"1-1480[+]"	"FOCAD_MOUSE^FOCAD_MOUSE^Q:43-187,H:641-776^36.55%ID^E:3e-18^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`FOCAD_HUMAN^FOCAD_HUMAN^Q:43-187,H:641-779^33.79%ID^E:4e-16^RecName: Full=Focadhesin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF12530.7^DUF3730^Protein of unknown function (DUF3730)^34-116^E:7.6e-19"	"."	"."	"ENOG410YIIU^focadhesin"	"KEGG:mmu:230393"	"GO:0005925^cellular_component^focal adhesion`GO:0016021^cellular_component^integral component of membrane"	"."	"."	"."	"Sc0000112"	390786	421425
"Mcavernosa22361"	0.0016182688870919	"Mcavernosa22361"	"EST2_RABIT^EST2_RABIT^Q:17-177,H:4-188^36.76%ID^E:3e-23^RecName: Full=Liver carboxylesterase 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus`EST2E_MOUSE^EST2E_MOUSE^Q:13-177,H:26-215^36.84%ID^E:2e-22^RecName: Full=Pyrethroid hydrolase Ces2e;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`EST2_HUMAN^EST2_HUMAN^Q:13-177,H:26-215^35.42%ID^E:7e-22^RecName: Full=Cocaine esterase;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa22361"	"1-1959[+]"	"EST2_RABIT^EST2_RABIT^Q:17-177,H:4-188^36.76%ID^E:3e-23^RecName: Full=Liver carboxylesterase 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus`EST2E_MOUSE^EST2E_MOUSE^Q:13-177,H:26-215^36.84%ID^E:2e-22^RecName: Full=Pyrethroid hydrolase Ces2e;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`EST2_HUMAN^EST2_HUMAN^Q:13-177,H:26-215^35.42%ID^E:7e-22^RecName: Full=Cocaine esterase;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF00135.27^COesterase^Carboxylesterase family^18-176^E:5.3e-43`PF12012.7^DUF3504^Domain of unknown function (DUF3504)^366-511^E:4e-13`PF00589.21^Phage_integrase^Phage integrase family^481-559^E:2e-05"	"."	"."	"COG2272^Carboxylesterase"	"."	"GO:0005788^cellular_component^endoplasmic reticulum lumen`GO:0052689^molecular_function^carboxylic ester hydrolase activity"	"GO:0003677^molecular_function^DNA binding`GO:0006310^biological_process^DNA recombination`GO:0015074^biological_process^DNA integration"	"."	"."	"Sc0000369"	253350	269613
"Mcavernosa22362"	0.0016182688870919	"Mcavernosa22362"	"."	"."	"Mcavernosa22362"	"1-363[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000369"	255805	309956
"Mcavernosa10805"	0.00166712522074743	"Mcavernosa10805"	"PYRD1_BOVIN^PYRD1_BOVIN^Q:30-452,H:94-502^54.82%ID^E:2e-162^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PYRD1_RAT^PYRD1_RAT^Q:30-452,H:91-498^53.77%ID^E:7e-160^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`PYRD1_DANRE^PYRD1_DANRE^Q:25-452,H:90-490^53.85%ID^E:3e-159^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"."	"Mcavernosa10805"	"1-1911[+]"	"PYRD1_BOVIN^PYRD1_BOVIN^Q:30-452,H:94-502^54.82%ID^E:2e-162^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PYRD1_RAT^PYRD1_RAT^Q:30-452,H:91-498^53.77%ID^E:7e-160^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`PYRD1_DANRE^PYRD1_DANRE^Q:25-452,H:90-490^53.85%ID^E:3e-159^RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"PF07992.13^Pyr_redox_2^Pyridine nucleotide-disulphide oxidoreductase^35-105^E:3.7e-06`PF07992.13^Pyr_redox_2^Pyridine nucleotide-disulphide oxidoreductase^252-335^E:1.2e-09"	"."	"ExpAA=21.56^PredHel=1^Topology=i13-35o"	"ENOG410XZAZ^pyridine nucleotide-disulphide oxidoreductase domain 1"	"KEGG:bta:505859"	"GO:0005634^cellular_component^nucleus`GO:0030017^cellular_component^sarcomere`GO:0016491^molecular_function^oxidoreductase activity`GO:0034599^biological_process^cellular response to oxidative stress"	"GO:0016491^molecular_function^oxidoreductase activity`GO:0055114^biological_process^oxidation-reduction process"	"."	"."	"Sc0000439"	153359	158980
"Mcavernosa07092"	0.00174735311899989	"Mcavernosa07092"	"."	"."	"Mcavernosa07092"	"1-663[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000005"	1499227	1499889
"Mcavernosa07325"	0.00180231041741996	"Mcavernosa07325"	"CSN3_DANRE^CSN3_DANRE^Q:70-194,H:237-406^41.21%ID^E:3e-29^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CSN3_BOVIN^CSN3_BOVIN^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`CSN3_PONAB^CSN3_PONAB^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"Mcavernosa07325"	"1-591[+]"	"CSN3_DANRE^CSN3_DANRE^Q:70-194,H:237-406^41.21%ID^E:3e-29^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`CSN3_BOVIN^CSN3_BOVIN^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`CSN3_PONAB^CSN3_PONAB^Q:70-194,H:237-406^40.11%ID^E:4e-28^RecName: Full=COP9 signalosome complex subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"."	"."	"ENOG410XRKY^COP9 (constitutive photomorphogenic) homolog, subunit 3 (Arabidopsis"	"KEGG:dre:335720`KO:K12177"	"GO:0008180^cellular_component^COP9 signalosome`GO:0005737^cellular_component^cytoplasm`GO:0000338^biological_process^protein deneddylation`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process"	"."	"."	"."	"Sc0000036"	198009	263294
"Mcavernosa10089"	0.00210777384516563	"Mcavernosa10089"	"."	"."	"Mcavernosa10089"	"1-1098[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000493"	122093	123623
"Mcavernosa28023"	0.00238613847913499	"Mcavernosa28023"	"F161A_XENTR^F161A_XENTR^Q:248-676,H:191-596^32.29%ID^E:2e-50^RecName: Full=Protein FAM161A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`F161A_XENLA^F161A_XENLA^Q:248-676,H:179-583^32.58%ID^E:2e-47^RecName: Full=Protein FAM161A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`F161B_HUMAN^F161B_HUMAN^Q:266-669,H:149-582^29.98%ID^E:8e-43^RecName: Full=Protein FAM161B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa28023"	"1-2205[+]"	"F161A_XENTR^F161A_XENTR^Q:248-676,H:191-596^32.29%ID^E:2e-50^RecName: Full=Protein FAM161A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`F161A_XENLA^F161A_XENLA^Q:248-676,H:179-583^32.58%ID^E:2e-47^RecName: Full=Protein FAM161A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`F161B_HUMAN^F161B_HUMAN^Q:266-669,H:149-582^29.98%ID^E:8e-43^RecName: Full=Protein FAM161B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF10595.8^UPF0564^Uncharacterised protein family UPF0564^285-652^E:1.7e-83"	"."	"."	"ENOG4111HTJ^Family with sequence similarity 161, member A"	"KEGG:xtr:100144951`KO:K16772"	"GO:0005929^cellular_component^cilium`GO:0005737^cellular_component^cytoplasm`GO:0005856^cellular_component^cytoskeleton`GO:0030030^biological_process^cell projection organization"	"."	"."	"."	"Sc0000179"	200502	207216
"Mcavernosa02057"	0.00239736741627942	"Mcavernosa02057"	"CENPU_MOUSE^CENPU_MOUSE^Q:238-363,H:238-403^29.59%ID^E:4e-07^RecName: Full=Centromere protein U;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa02057"	"1-1405[+]"	"CENPU_MOUSE^CENPU_MOUSE^Q:238-363,H:238-403^29.59%ID^E:4e-07^RecName: Full=Centromere protein U;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF13097.5^CENP-U^CENP-A nucleosome associated complex (NAC) subunit^171-302^E:5.2e-16"	"."	"."	"ENOG410Z48V^MLF1 interacting protein"	"KEGG:mmu:71876`KO:K11513"	"GO:0000777^cellular_component^condensed chromosome kinetochore`GO:0005737^cellular_component^cytoplasm`GO:0005815^cellular_component^microtubule organizing center`GO:0005634^cellular_component^nucleus`GO:0043009^biological_process^chordate embryonic development`GO:0006355^biological_process^regulation of transcription, DNA-templated`GO:0006351^biological_process^transcription, DNA-templated"	"."	"."	"."	"Sc0000022"	903232	920636
"Mcavernosa18820"	0.00308493192368562	"Mcavernosa18820"	"."	"."	"Mcavernosa18820"	"1-1098[+]"	"."	"PF05585.11^DUF1758^Putative peptidase (DUF1758)^81-178^E:3.6e-08"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000309"	82435	84146
"Mcavernosa00764"	0.00369287287944924	"Mcavernosa00764"	"PKHM2_HUMAN^PKHM2_HUMAN^Q:3-269,H:742-989^27.6%ID^E:4e-26^RecName: Full=Pleckstrin homology domain-containing family M member 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`PKHM2_MOUSE^PKHM2_MOUSE^Q:29-269,H:772-988^29.05%ID^E:5e-26^RecName: Full=Pleckstrin homology domain-containing family M member 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa00764"	"1-862[+]"	"PKHM2_HUMAN^PKHM2_HUMAN^Q:3-269,H:742-989^27.6%ID^E:4e-26^RecName: Full=Pleckstrin homology domain-containing family M member 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`PKHM2_MOUSE^PKHM2_MOUSE^Q:29-269,H:772-988^29.05%ID^E:5e-26^RecName: Full=Pleckstrin homology domain-containing family M member 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00169.28^PH^PH domain^29-129^E:5.6e-08"	"."	"."	"ENOG410ZZUG^pleckstrin homology domain containing, family M (with RUN domain) member 2"	"KEGG:hsa:23207`KO:K15348"	"GO:0010008^cellular_component^endosome membrane`GO:0019894^molecular_function^kinesin binding`GO:0007030^biological_process^Golgi organization`GO:0032418^biological_process^lysosome localization`GO:1903527^biological_process^positive regulation of membrane tubulation`GO:0032880^biological_process^regulation of protein localization"	"."	"."	"."	"Sc0000012"	1143574	1159483
