"gene"	"adj.pval.trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa08646"	0.000380882756385827	"Mcavernosa08646"	"CRTP1_DICDI^CRTP1_DICDI^Q:86-354,H:81-329^23.44%ID^E:1e-10^RecName: Full=Crt homolog 1;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`CRTP3_DICDI^CRTP3_DICDI^Q:87-271,H:85-249^21.62%ID^E:8e-06^RecName: Full=Crt homolog 3;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium"	"."	"Mcavernosa08646"	"1-1531[+]"	"CRTP1_DICDI^CRTP1_DICDI^Q:86-354,H:81-329^23.44%ID^E:1e-10^RecName: Full=Crt homolog 1;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`CRTP3_DICDI^CRTP3_DICDI^Q:87-271,H:85-249^21.62%ID^E:8e-06^RecName: Full=Crt homolog 3;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium"	"PF08627.9^CRT-like^CRT-like, chloroquine-resistance transporter-like^87-313^E:1e-18"	"."	"ExpAA=265.63^PredHel=12^Topology=i39-61o88-110i123-145o155-174i181-203o223-245i258-280o317-339i344-366o381-398i411-433o453-475i"	"ENOG4111P31^May regulate endogenous transporter (By similarity)"	"KEGG:ddi:DDB_G0276943"	"GO:0030659^cellular_component^cytoplasmic vesicle membrane`GO:0016021^cellular_component^integral component of membrane`GO:0012506^cellular_component^vesicle membrane`GO:0015238^molecular_function^drug transmembrane transporter activity"	"."	"."	"."	"Sc0000201"	201933	218098
"Mcavernosa02530"	0.000381243051509623	"Mcavernosa02530"	"TRAIP_HUMAN^TRAIP_HUMAN^Q:20-207,H:220-435^29.02%ID^E:3e-10^RecName: Full=E3 ubiquitin-protein ligase TRAIP;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRAIP_MOUSE^TRAIP_MOUSE^Q:3-214,H:204-448^27.09%ID^E:6e-08^RecName: Full=E3 ubiquitin-protein ligase TRAIP;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa02530"	"1-1444[+]"	"TRAIP_HUMAN^TRAIP_HUMAN^Q:20-207,H:220-435^29.02%ID^E:3e-10^RecName: Full=E3 ubiquitin-protein ligase TRAIP;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRAIP_MOUSE^TRAIP_MOUSE^Q:3-214,H:204-448^27.09%ID^E:6e-08^RecName: Full=E3 ubiquitin-protein ligase TRAIP;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"."	"."	"ENOG410YY6J^Traf interacting protein"	"KEGG:hsa:10293`KO:K11985"	"GO:0005730^cellular_component^nucleolus`GO:0048471^cellular_component^perinuclear region of cytoplasm`GO:0046872^molecular_function^metal ion binding`GO:0061630^molecular_function^ubiquitin protein ligase activity`GO:0006915^biological_process^apoptotic process`GO:0008283^biological_process^cell proliferation`GO:0032688^biological_process^negative regulation of interferon-beta production`GO:0010804^biological_process^negative regulation of tumor necrosis factor-mediated signaling pathway`GO:0007165^biological_process^signal transduction"	"."	"."	"."	"Sc0000077"	651593	670558
"Mcavernosa01022"	0.00038747845350112	"Mcavernosa01022"	"TBCE_DANRE^TBCE_DANRE^Q:1-366,H:2-520^31.24%ID^E:1e-64^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`TBCE_XENLA^TBCE_XENLA^Q:127-366,H:244-522^36.49%ID^E:6e-43^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:140-366,H:310-528^37.83%ID^E:7e-37^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TBCE_XENLA^TBCE_XENLA^Q:8-187,H:12-242^32.35%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:6-182,H:10-242^30.17%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa01022"	"1-2094[+]"	"TBCE_DANRE^TBCE_DANRE^Q:1-366,H:2-520^31.24%ID^E:1e-64^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`TBCE_XENLA^TBCE_XENLA^Q:127-366,H:244-522^36.49%ID^E:6e-43^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:140-366,H:310-528^37.83%ID^E:7e-37^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TBCE_XENLA^TBCE_XENLA^Q:8-187,H:12-242^32.35%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:6-182,H:10-242^30.17%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF01302.24^CAP_GLY^CAP-Gly domain^6-58^E:6.6e-16`PF14560.5^Ubiquitin_2^Ubiquitin-like domain^286-363^E:1.5e-08"	"."	"."	"ENOG410YS3M^Tubulin folding cofactor E"	"KEGG:dre:664760`KO:K21768"	"GO:0005737^cellular_component^cytoplasm`GO:0005856^cellular_component^cytoskeleton`GO:0007023^biological_process^post-chaperonin tubulin folding pathway"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000015"	147157	159162
"Mcavernosa30418"	0.000402090741975895	"Mcavernosa30418"	"."	"."	"Mcavernosa30418"	"1-384[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xpSc0004820"	3767	20463
"Mcavernosa07479"	0.000416144823629859	"Mcavernosa07479"	"ERC6L_BOVIN^ERC6L_BOVIN^Q:18-215,H:16-202^48.5%ID^E:8e-53^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`ERC6L_HUMAN^ERC6L_HUMAN^Q:18-215,H:16-202^47%ID^E:7e-51^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`ERC6L_DANRE^ERC6L_DANRE^Q:16-215,H:19-211^48.77%ID^E:2e-50^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"."	"Mcavernosa07479"	"1-645[+]"	"ERC6L_BOVIN^ERC6L_BOVIN^Q:18-215,H:16-202^48.5%ID^E:8e-53^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`ERC6L_HUMAN^ERC6L_HUMAN^Q:18-215,H:16-202^47%ID^E:7e-51^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`ERC6L_DANRE^ERC6L_DANRE^Q:16-215,H:19-211^48.77%ID^E:2e-50^RecName: Full=DNA excision repair protein ERCC-6-like;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"PF00176.22^SNF2_N^SNF2 family N-terminal domain^126-215^E:1.6e-21"	"."	"."	"ENOG410XP4Z^excision repair cross-complementing rodent repair deficiency complementation group"	"KEGG:bta:782916`KO:K20093"	"GO:0000777^cellular_component^condensed chromosome kinetochore`GO:0005524^molecular_function^ATP binding`GO:0003677^molecular_function^DNA binding`GO:0015616^molecular_function^DNA translocase activity`GO:0004386^molecular_function^helicase activity`GO:0007049^biological_process^cell cycle`GO:0051301^biological_process^cell division"	"GO:0005524^molecular_function^ATP binding"	"."	"."	"Sc0000037"	670644	674148
"Mcavernosa21250"	0.000453957764832457	"Mcavernosa21250"	"."	"."	"Mcavernosa21250"	"1-1476[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000513"	108043	110723
"Mcavernosa06469"	0.000488420821044228	"Mcavernosa06469"	"ZFR_PONAB^ZFR_PONAB^Q:20-996,H:21-1070^39.33%ID^E:0^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`ZFR_HUMAN^ZFR_HUMAN^Q:20-996,H:21-1070^39.18%ID^E:0^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`ZFR_MOUSE^ZFR_MOUSE^Q:20-996,H:21-1070^38.71%ID^E:1e-178^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa06469"	"1-3069[+]"	"ZFR_PONAB^ZFR_PONAB^Q:20-996,H:21-1070^39.33%ID^E:0^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`ZFR_HUMAN^ZFR_HUMAN^Q:20-996,H:21-1070^39.18%ID^E:0^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`ZFR_MOUSE^ZFR_MOUSE^Q:20-996,H:21-1070^38.71%ID^E:1e-178^RecName: Full=Zinc finger RNA-binding protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF12874.6^zf-met^Zinc-finger of C2H2 type^312-335^E:1.2e-06`PF12874.6^zf-met^Zinc-finger of C2H2 type^494-518^E:1.8e-06`PF07528.13^DZF^DZF domain^746-963^E:2.6e-60"	"."	"."	"ENOG410XPBY^zinc finger RNA binding protein"	"KEGG:pon:100171613`KO:K13203"	"GO:0005694^cellular_component^chromosome`GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0003723^molecular_function^RNA binding`GO:0008270^molecular_function^zinc ion binding`GO:0007275^biological_process^multicellular organism development"	"."	"."	"."	"Sc0000001"	1485086	1498334
"Mcavernosa16539"	0.000488420821044228	"Mcavernosa16539"	"FBXL2_BOVIN^FBXL2_BOVIN^Q:4-292,H:79-365^26.87%ID^E:2e-21^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:4-297,H:92-384^26.76%ID^E:4e-21^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:4-297,H:92-384^26.76%ID^E:4e-21^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FBXL2_BOVIN^FBXL2_BOVIN^Q:85-289,H:53-281^27.71%ID^E:1e-12^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FBXL2_BOVIN^FBXL2_BOVIN^Q:8-242,H:135-392^25.76%ID^E:7e-12^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:8-255,H:148-393^25%ID^E:4e-10^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:8-255,H:148-393^25%ID^E:4e-10^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:93-297,H:75-277^25.36%ID^E:4e-08^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:93-297,H:75-277^25.36%ID^E:4e-08^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:144-289,H:73-216^25.17%ID^E:2e-06^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:144-289,H:73-216^25.17%ID^E:2e-06^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa16539"	"1-2081[+]"	"FBXL2_BOVIN^FBXL2_BOVIN^Q:4-292,H:79-365^26.87%ID^E:2e-21^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:4-297,H:92-384^26.76%ID^E:4e-21^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:4-297,H:92-384^26.76%ID^E:4e-21^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FBXL2_BOVIN^FBXL2_BOVIN^Q:85-289,H:53-281^27.71%ID^E:1e-12^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FBXL2_BOVIN^FBXL2_BOVIN^Q:8-242,H:135-392^25.76%ID^E:7e-12^RecName: Full=F-box/LRR-repeat protein 2 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:8-255,H:148-393^25%ID^E:4e-10^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:8-255,H:148-393^25%ID^E:4e-10^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:93-297,H:75-277^25.36%ID^E:4e-08^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:93-297,H:75-277^25.36%ID^E:4e-08^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`FXL20_HUMAN^FXL20_HUMAN^Q:144-289,H:73-216^25.17%ID^E:2e-06^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`FXL20_BOVIN^FXL20_BOVIN^Q:144-289,H:73-216^25.17%ID^E:2e-06^RecName: Full=F-box/LRR-repeat protein 20;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF13516.5^LRR_6^Leucine Rich repeat^109-131^E:0.00021"	"sigP:1^21^0.519^YES"	"."	"ENOG410XQ54^F-box and leucine-rich repeat protein"	"KEGG:bta:616212`KO:K10268"	"GO:0016020^cellular_component^membrane`GO:0019005^cellular_component^SCF ubiquitin ligase complex`GO:0005516^molecular_function^calmodulin binding`GO:0036312^molecular_function^phosphatidylinositol 3-kinase regulatory subunit binding`GO:0019903^molecular_function^protein phosphatase binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0044830^biological_process^modulation by host of viral RNA genome replication`GO:0006513^biological_process^protein monoubiquitination`GO:0016567^biological_process^protein ubiquitination`GO:0010506^biological_process^regulation of autophagy`GO:0014066^biological_process^regulation of phosphatidylinositol 3-kinase signaling`GO:0031146^biological_process^SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000061"	340481	365411
"Mcavernosa15301"	0.000542155348786014	"Mcavernosa15301"	"."	"."	"Mcavernosa15301"	"1-1895[+]"	"."	"."	"sigP:1^22^0.905^YES"	"ExpAA=17.36^PredHel=1^Topology=i5-22o"	"."	"."	"."	"."	"."	"."	"Sc0000238"	5782	25116
"Mcavernosa19163"	0.000542155348786014	"Mcavernosa19163"	"KDM8_HUMAN^KDM8_HUMAN^Q:45-116,H:190-262^37.66%ID^E:4e-07^RecName: Full=JmjC domain-containing protein 5 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`KDM8_BOVIN^KDM8_BOVIN^Q:14-125,H:145-265^28.1%ID^E:5e-07^RecName: Full=JmjC domain-containing protein 5 {ECO:0000250|UniProtKB:Q8N371};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa19163"	"1-927[+]"	"KDM8_HUMAN^KDM8_HUMAN^Q:45-116,H:190-262^37.66%ID^E:4e-07^RecName: Full=JmjC domain-containing protein 5 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`KDM8_BOVIN^KDM8_BOVIN^Q:14-125,H:145-265^28.1%ID^E:5e-07^RecName: Full=JmjC domain-containing protein 5 {ECO:0000250|UniProtKB:Q8N371};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF13621.5^Cupin_8^Cupin-like domain^48-104^E:1.9e-07`PF13202.5^EF-hand_5^EF hand^251-268^E:0.0015"	"sigP:1^18^0.585^YES"	"."	"ENOG410XQDR^Domain-Containing protein"	"KEGG:hsa:79831`KO:K10277"	"GO:0005694^cellular_component^chromosome`GO:0005829^cellular_component^cytosol`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0003682^molecular_function^chromatin binding`GO:0032452^molecular_function^histone demethylase activity`GO:0051864^molecular_function^histone demethylase activity (H3-K36 specific)`GO:0046872^molecular_function^metal ion binding`GO:0008233^molecular_function^peptidase activity`GO:0000086^biological_process^G2/M transition of mitotic cell cycle`GO:0070544^biological_process^histone H3-K36 demethylation`GO:0045893^biological_process^positive regulation of transcription, DNA-templated`GO:0006351^biological_process^transcription, DNA-templated"	"GO:0005509^molecular_function^calcium ion binding"	"."	"."	"Sc0000320"	249183	259140
"Mcavernosa30498"	0.000542155348786014	"Mcavernosa30498"	"."	"."	"Mcavernosa30498"	"1-2169[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0001160"	2156	16733
